,Clean_Rating,Clean_Review,Time
324,5.0 out of 5 stars,It is comfortable t shirt and also fit that I expected,1 April 2019
325,5.0 out of 5 stars,Mst looks same as shown in pictures fits well genuine products,8 April 2019
326,1.0 out of 5 stars,Poor product never buy from amazon,11 November 2018
327,5.0 out of 5 stars,This T shirt looks good on me.Was delivered on 2 days only,14 June 2017
328,4.0 out of 5 stars,Pretty nice shirt. I wear M but went for an L and thank god I did. Ordered two more. Go for it. Just order a bigger size than what you usually wear.,28 January 2017
329,5.0 out of 5 stars,"Fabric quality is good,fitting and design is perfect,Colour combination is awesome.value for money.",15 November 2017
330,2.0 out of 5 stars,Not good fitting,28 March 2019
331,5.0 out of 5 stars,Very nice,14 December 2018
332,5.0 out of 5 stars,Nice fit as expected,1 May 2018
333,1.0 out of 5 stars,Size is written as XL but doesn't fit me. It's in the M size.,24 August 2018
334,5.0 out of 5 stars,Nicely fits to body.best for out side workout and activities.,16 September 2018
335,1.0 out of 5 stars,Quality of the product is way below than whats shown. Not a good buy.,7 July 2017
336,5.0 out of 5 stars,Good,27 October 2017
337,5.0 out of 5 stars,Good fabric quality. Good in the price range,2 January 2019
338,5.0 out of 5 stars,Really happ...y thank you Amazon...,3 November 2018
339,5.0 out of 5 stars,The fit was perfect as mentioned in the website.,30 October 2018
340,5.0 out of 5 stars,This is very good tshirt,8 April 2018
341,3.0 out of 5 stars,Cotton and somewhat synthetic,24 August 2018
342,4.0 out of 5 stars,Worth of the price and material is good,26 October 2017
343,4.0 out of 5 stars,good material and perfect fit,2 August 2018
344,4.0 out of 5 stars,Nice clothe I like this,19 October 2018
345,5.0 out of 5 stars,Good to fit and look,31 October 2018
346,5.0 out of 5 stars,AWESOME t shirt nice black colour and cloths are good quality...☺☺🖒,24 September 2018
347,4.0 out of 5 stars,Worth it! Good quality and fit..would recommend others for sure to buy it,26 January 2017
348,1.0 out of 5 stars,Colour faded after 1 or 2 wash.Very bad product.,31 October 2018
349,4.0 out of 5 stars,very good product..the fabric is good...i m quite impressed,25 August 2018
350,4.0 out of 5 stars,nice,6 June 2017
351,2.0 out of 5 stars,small,2 April 2019
352,3.0 out of 5 stars,So So,8 May 2018
353,5.0 out of 5 stars,Nyce,14 May 2018
354,3.0 out of 5 stars,Cloth quality is goodWell designed.Desired size not fitted on me.,15 March 2018
355,3.0 out of 5 stars,Good,20 June 2018
356,5.0 out of 5 stars,Very reasonable price with good quality.,30 December 2018
357,5.0 out of 5 stars,Looking same like picture,27 February 2019
358,4.0 out of 5 stars,Good,7 December 2018
359,5.0 out of 5 stars,It's really incredible.loved it.,6 February 2019
360,4.0 out of 5 stars,Paid Rs. 399 for it but don't buy if it's more.,13 January 2017
361,5.0 out of 5 stars,Very good productNo change in colore n size after washing,31 August 2018
362,5.0 out of 5 stars,The product is totally fit and fine as expected,13 April 2019
363,5.0 out of 5 stars,Nice quality nice color Nice fitting...Pull paisa washul,13 January 2019
364,4.0 out of 5 stars,Cotton quality is good,19 October 2018
365,5.0 out of 5 stars,Worth it. Perfect in all way,4 September 2017
366,4.0 out of 5 stars,Awesome t-shirt .....Will order more items...Thank you amazon,12 April 2017
367,5.0 out of 5 stars,Superb,27 January 2019
368,5.0 out of 5 stars,Stuff is nice but check your proper chest and size then buy i like the cloth,28 May 2018
369,5.0 out of 5 stars,Cloth material was good ... and fit ....nice one .,31 August 2018
370,4.0 out of 5 stars,Worth buying,30 December 2016
371,4.0 out of 5 stars,Material OK.. Price little high,14 June 2018
372,5.0 out of 5 stars,5 star for fitting.,8 July 2018
373,5.0 out of 5 stars,Good and cheap to buyAnd on time delivery,23 July 2018
374,5.0 out of 5 stars,Good,25 July 2018
375,3.0 out of 5 stars,Looks good but won't look good after a year.,26 March 2019
376,1.0 out of 5 stars,Drink after wash bad product waste of money.,10 March 2019
377,5.0 out of 5 stars,Very nice.you can purchase without any doubt,26 February 2019
378,5.0 out of 5 stars,Best quality products,30 January 2019
379,4.0 out of 5 stars,Not bad..But it's ok fine,4 November 2018
380,3.0 out of 5 stars,Good product,8 April 2017
381,3.0 out of 5 stars,Nice product,19 October 2018
382,4.0 out of 5 stars,Looks stylish,15 October 2018
383,2.0 out of 5 stars,Design is good but quality is wrost,25 February 2019
384,5.0 out of 5 stars,Got the perfect size and the delivery was very fast! Loved it,8 October 2018
385,5.0 out of 5 stars,"Right size, no issue, perfect condition,",7 October 2017
386,5.0 out of 5 stars,Love it,25 January 2017
387,2.0 out of 5 stars,Cloth is not elastic. Very rough. Not worth it. But thanks for the refund and return.,3 August 2017
388,4.0 out of 5 stars,The product is good and has the quality as you might expect in this price. Enjoy!,5 November 2016
389,3.0 out of 5 stars,Nice colour .nice fit..but small defect on sleeves cloth,30 April 2018
390,4.0 out of 5 stars,Worth for ₹300!,25 January 2019
391,4.0 out of 5 stars,Nice fabric.,6 October 2018
392,5.0 out of 5 stars,Length of t-shirt a little bit small but the product is fantastic,7 October 2018
393,3.0 out of 5 stars,"Shirt is good, good material and nice fitting. Anazon service is amazing, received item earlier than estimated. Thank you",27 February 2017
394,1.0 out of 5 stars,Very bad looking,21 March 2017
395,1.0 out of 5 stars,Dislike,2 March 2019
396,4.0 out of 5 stars,Good one. But some what smaller than expected,30 October 2018
397,3.0 out of 5 stars,Fit is excellent but im not much so happy with the quality of the cloth however!!,14 August 2017
398,4.0 out of 5 stars,Actually fit as expected,6 December 2018
399,5.0 out of 5 stars,Awesome t-shirt fits very well and looks very stylish.Thank you amazon,30 December 2017
400,5.0 out of 5 stars,Good quality of T-shirt.,18 June 2018
401,5.0 out of 5 stars,Thank you Amazon.. quality and color both as i expect..,23 December 2018
402,3.0 out of 5 stars,Quality of cloth not as expected..,8 November 2018
403,4.0 out of 5 stars,thank you.,31 July 2018
404,5.0 out of 5 stars,"The product is amazing, fits as expected, value for money....",7 October 2018
405,5.0 out of 5 stars,"good quality at low price ,fits tight, good for slim people",20 July 2017
406,4.0 out of 5 stars,Very Good,31 July 2018
407,3.0 out of 5 stars,"Some products are too small,some are deep in colour.only one was fit as expected.",22 January 2018
408,4.0 out of 5 stars,Good product,3 June 2017
409,4.0 out of 5 stars,Gud product,10 July 2018
410,5.0 out of 5 stars,Lik it,7 March 2019
411,5.0 out of 5 stars,"Perfect size, good material,",18 March 2019
412,5.0 out of 5 stars,Perfect fitting. Go for it..,4 December 2018
413,3.0 out of 5 stars,Good at this price range...,28 April 2018
414,3.0 out of 5 stars,"Quality is so cheap, as per price quote.. It can be 200 enough..",8 September 2017
415,4.0 out of 5 stars,Good product and good material used,16 March 2019
416,5.0 out of 5 stars,Good T shirt,4 February 2019
417,5.0 out of 5 stars,Super good product soft and smooth,1 November 2018
418,3.0 out of 5 stars,Superb Quality and fit as expected,23 October 2018
419,3.0 out of 5 stars,Good,20 December 2018
420,4.0 out of 5 stars,Good,5 February 2019
421,1.0 out of 5 stars,ordered large but recieved small as shown in picture,21 November 2018
422,4.0 out of 5 stars,Nice produced fitting good,30 August 2018
423,5.0 out of 5 stars,Loved it,12 July 2018
424,5.0 out of 5 stars,Perfect,1 January 2018
425,4.0 out of 5 stars,Fits perfectly gud,18 December 2018
426,4.0 out of 5 stars,Good quality material. Comfortable while wearing.,1 September 2017
427,5.0 out of 5 stars,Gentle use will extend live of this cloth,2 March 2019
428,5.0 out of 5 stars,Very nice products,2 December 2018
429,4.0 out of 5 stars,Fabric and colour is good,5 December 2018
430,3.0 out of 5 stars,Need good quality,30 October 2018
431,4.0 out of 5 stars,Very best product with least cost,1 December 2018
432,5.0 out of 5 stars,"Product Quality is Good, and it Fits perfectly. Thank you.",13 August 2017
433,5.0 out of 5 stars,Nice good quality,25 March 2019
434,4.0 out of 5 stars,"material is good,not fade t-shirt colour best product in amazon.in",9 October 2018
435,5.0 out of 5 stars,Good Product. Happy with product,6 February 2019
436,4.0 out of 5 stars,Very good fitting. Satisfied,29 October 2018
437,5.0 out of 5 stars,Love with their size and comfortable.,12 March 2018
438,5.0 out of 5 stars,Simply amazing and now this is the second time I have bought this item.,26 June 2017
439,5.0 out of 5 stars,Fits really good,23 November 2018
440,5.0 out of 5 stars,Good quality product with colour and size as expected,8 June 2017
441,4.0 out of 5 stars,Good product,1 November 2018
442,4.0 out of 5 stars,material is too perfect but size preffer perfactly .,19 October 2018
443,5.0 out of 5 stars,Nice color and design,21 June 2018
444,5.0 out of 5 stars,Very good quality,25 February 2017
445,4.0 out of 5 stars,Nice t. Didn’t shrink on wash,26 January 2019
446,2.0 out of 5 stars,Quality of the product is not up to the mark as seems in picture,26 September 2017
447,5.0 out of 5 stars,Nice T-shirtFit as expected,13 July 2018
448,4.0 out of 5 stars,its cotton and quality is as expected,3 December 2018
449,4.0 out of 5 stars,I like this product,19 October 2018
450,3.0 out of 5 stars,Nice and quality is also good enough in budget price..,1 April 2018
451,4.0 out of 5 stars,Material is soft and fit as expected. Satisfied.,18 April 2018
452,2.0 out of 5 stars,not upto mark and coastly to pay for this quality,9 March 2018
453,5.0 out of 5 stars,Better than expected 😉👌🏻,17 January 2017
454,5.0 out of 5 stars,Loved,22 March 2019
455,4.0 out of 5 stars,Super,28 January 2019
456,1.0 out of 5 stars,Bad product,17 October 2018
457,4.0 out of 5 stars,Nice fitting,25 January 2019
458,4.0 out of 5 stars,Good fitting,2 January 2019
459,4.0 out of 5 stars,Nice t shirt with decent quality and perfect fit.,30 June 2018
460,1.0 out of 5 stars,colour change as expected on the screen,3 June 2017
461,3.0 out of 5 stars,Not too good either too bad,12 February 2019
462,4.0 out of 5 stars,Nice,23 August 2018
463,4.0 out of 5 stars,Nice product,1 December 2018
464,3.0 out of 5 stars,Nice,26 January 2019
465,4.0 out of 5 stars,Nice,27 December 2018
466,4.0 out of 5 stars,Good,2 January 2019
467,5.0 out of 5 stars,Material is 'OK',29 October 2018
468,1.0 out of 5 stars,Worst product. 2 times i got defect product. Thanks to amazon to return my money.,28 February 2017
469,1.0 out of 5 stars,different product I got,12 July 2018
470,4.0 out of 5 stars,Nice product.,28 July 2018
471,5.0 out of 5 stars,Really good !! Nice material as expected !,11 August 2018
472,1.0 out of 5 stars,large size is actually smaller than medium,9 March 2019
473,5.0 out of 5 stars,Looks good n fits properly,4 February 2019
474,5.0 out of 5 stars,Fabric quality and Fit is good.,23 October 2018
475,4.0 out of 5 stars,Great,31 July 2018
476,5.0 out of 5 stars,Awesome trendy sweatshirt with perfect fitting. Order only if you are physically fit cauz it's not meant for fat people.,31 December 2016
477,5.0 out of 5 stars,Superb fit,19 April 2018
478,5.0 out of 5 stars,Very good,5 November 2018
479,5.0 out of 5 stars,I got exactly what I expected. very nice one.,7 April 2017
480,5.0 out of 5 stars,Good T shirt. Material is good. It's worth.,27 January 2018
481,4.0 out of 5 stars,Fabric is good..,29 September 2017
482,3.0 out of 5 stars,nice but fade colour,9 February 2018
483,4.0 out of 5 stars,Fine,9 November 2018
484,4.0 out of 5 stars,Good t-shirt but delivery is late,18 October 2017
485,4.0 out of 5 stars,"Nice product, fits nicely",5 June 2018
486,5.0 out of 5 stars,Love it... I am 5'11 and choose M and it fitts really very good,21 June 2017
487,5.0 out of 5 stars,This is the best cotton t-shirt,9 December 2018
488,4.0 out of 5 stars,Good product fit nicely go for it,4 February 2018
489,3.0 out of 5 stars,Slightly short,19 October 2018
490,5.0 out of 5 stars,Nice product.Very comfortable.,29 August 2018
491,1.0 out of 5 stars,Sewing on neck is overlapping. Looking so cheap,3 October 2018
492,4.0 out of 5 stars,it's good enough .received with one little hole on neckside. overall satisfied,3 February 2017
493,5.0 out of 5 stars,The Fit is Perfect and the fabric feels great too.,20 October 2018
494,1.0 out of 5 stars,Vry poor return policy,28 November 2018
495,5.0 out of 5 stars,The fit was absolutely perfect,29 January 2019
496,5.0 out of 5 stars,Excellent and very comfortable product,31 March 2019
497,5.0 out of 5 stars,Thanks,21 September 2017
498,5.0 out of 5 stars,cloth quality is good.,30 January 2019
499,1.0 out of 5 stars,poor quality the fit is very bad very disapionting,24 July 2017
500,1.0 out of 5 stars,Very low quality cloth and also poor striching,13 June 2018
501,5.0 out of 5 stars,"Perfect fit, cloth quality is worth more than the the price.",4 July 2017
502,1.0 out of 5 stars,Waste of money... Neck was irregular.,30 August 2017
503,5.0 out of 5 stars,Nice products,4 April 2019
504,4.0 out of 5 stars,Good quatity..best fittings..,3 September 2017
505,3.0 out of 5 stars,Quality and fittings is good but stitching is not good,21 January 2017
506,4.0 out of 5 stars,nice product for the price,6 January 2018
507,5.0 out of 5 stars,"Its an awesome product. Fits well, fabric is also good . you will not regret by buying it.",2 May 2017
508,5.0 out of 5 stars,its good producti like this asin,14 November 2018
509,4.0 out of 5 stars,Good,16 March 2019
510,3.0 out of 5 stars,Not bad and not best,26 June 2017
511,4.0 out of 5 stars,Good product and nice quality,16 October 2017
512,5.0 out of 5 stars,Its very gud and i am also wear my tshirt,20 October 2018
513,5.0 out of 5 stars,Quality is goos service of seller as well,29 June 2018
514,4.0 out of 5 stars,Just buy 1 size big,14 January 2019
515,5.0 out of 5 stars,Awesome T-shirt...I loved it..,25 March 2018
516,3.0 out of 5 stars,Quality of the fabric is average. Fitting is proper though.,22 February 2017
517,5.0 out of 5 stars,Nice t-shirts,3 June 2018
518,5.0 out of 5 stars,Worth it.,3 February 2018
519,2.0 out of 5 stars,Not bad,11 September 2018
520,4.0 out of 5 stars,Good quality. Over all its is good,20 December 2017
521,4.0 out of 5 stars,Sleeves were perfect but it was small around waist,16 December 2017
522,4.0 out of 5 stars,"Nice t shirt,go for it",14 August 2018
523,4.0 out of 5 stars,good. very comfortable,14 May 2018
524,5.0 out of 5 stars,Good,20 November 2018
525,5.0 out of 5 stars,Like,20 November 2018
526,5.0 out of 5 stars,Nice ... Quality product.,14 August 2018
527,1.0 out of 5 stars,Poor cloth material,31 May 2018
528,4.0 out of 5 stars,All right,22 February 2019
529,3.0 out of 5 stars,Overall cloth is good,29 October 2018
530,4.0 out of 5 stars,Good,12 November 2018
531,5.0 out of 5 stars,"Fully satisfied with amazon ,best service",20 July 2018
532,4.0 out of 5 stars,,3 July 2018
533,2.0 out of 5 stars,Size to not fit,15 August 2018
534,5.0 out of 5 stars,Good,1 November 2018
535,5.0 out of 5 stars,perfect fix,25 February 2017
536,1.0 out of 5 stars,Very bad,27 September 2018
537,5.0 out of 5 stars,Price was fine,16 January 2019
538,4.0 out of 5 stars,Fits perfectly. Stitching is not that good but satisfatory,16 November 2017
539,4.0 out of 5 stars,Super,16 October 2018
540,4.0 out of 5 stars,Very good.,4 November 2018
541,4.0 out of 5 stars,I like this product but not satisfied,8 October 2018
542,4.0 out of 5 stars,,21 November 2017
543,4.0 out of 5 stars,Slim fitBuy +1 size,9 February 2019
544,3.0 out of 5 stars,Wow! Nice fitting,7 November 2018
545,5.0 out of 5 stars,It's really good as I expected....quality is average but looks good..,15 October 2017
546,5.0 out of 5 stars,good t shirt in this price range.,13 March 2018
547,4.0 out of 5 stars,Nice tshirt with good fitting,12 July 2018
548,3.0 out of 5 stars,Liked,30 October 2018
549,4.0 out of 5 stars,Nice fitting,7 December 2018
550,5.0 out of 5 stars,Awesome Product. Liked the fitting and quality.,22 November 2017
551,5.0 out of 5 stars,Nice product,26 February 2019
552,5.0 out of 5 stars,Nice t shirt,10 December 2018
553,4.0 out of 5 stars,Like,15 January 2019
554,1.0 out of 5 stars,not as expected,22 October 2017
555,5.0 out of 5 stars,Really Stylish and Perfect Fit,16 August 2017
556,4.0 out of 5 stars,Worth the Value!,19 January 2018
557,5.0 out of 5 stars,Nice,13 June 2018
558,5.0 out of 5 stars,Perfect t-shirt of good quality 😎😎😎,11 April 2017
559,4.0 out of 5 stars,Nice product with nice fitting I like itBuyers buy it less price nice t shirtGood one buddies,2 January 2017
560,5.0 out of 5 stars,very very good Qualityso nice,17 December 2017
561,5.0 out of 5 stars,Diz product is perfect as I order..,5 October 2018
562,4.0 out of 5 stars,It's good for winter and rainy seasons,19 May 2018
563,4.0 out of 5 stars,Perfect size and nice look,30 October 2018
564,2.0 out of 5 stars,It is not comfortable size,4 February 2019
565,5.0 out of 5 stars,I love you,22 August 2018
566,5.0 out of 5 stars,Awesome t shirt,28 October 2018
567,4.0 out of 5 stars,Good quality,21 November 2018
568,5.0 out of 5 stars,It's was good,15 December 2018
569,5.0 out of 5 stars,Product is too good... No need to worry about the quality,19 August 2017
570,5.0 out of 5 stars,Wonderful tshirt at this price....,10 February 2018
571,2.0 out of 5 stars,not as shown and as expected for rs.350,4 September 2017
572,5.0 out of 5 stars,Aayee ...,19 February 2019
573,4.0 out of 5 stars,Nice item,28 February 2019
574,5.0 out of 5 stars,Nice fabric,20 November 2018
575,5.0 out of 5 stars,Nice fit,27 April 2018
576,3.0 out of 5 stars,Local Product,18 March 2018
577,4.0 out of 5 stars,One of the best,5 January 2018
578,1.0 out of 5 stars,I've received different colour.Ordered blue but they sent green.,2 March 2017
579,5.0 out of 5 stars,"It's parfact ,, nice one",26 September 2018
580,4.0 out of 5 stars,Nice,2 December 2018
581,4.0 out of 5 stars,Best products 🖕,28 August 2018
582,5.0 out of 5 stars,Bahut hi badhiya,16 November 2018
583,5.0 out of 5 stars,Awesome .. fully perfect,7 October 2018
584,4.0 out of 5 stars,Good Quality of clothes .. Good product,8 March 2017
585,3.0 out of 5 stars,Not good,13 February 2019
586,5.0 out of 5 stars,Excellent,12 April 2018
587,1.0 out of 5 stars,Poor quality. Not recommend to buy.,21 May 2018
588,1.0 out of 5 stars,Doesnt look like a mens tshrt...,10 June 2018
589,5.0 out of 5 stars,Good product,16 March 2018
590,2.0 out of 5 stars,no better nor bestit is only good ...,21 July 2017
591,5.0 out of 5 stars,This good other,6 October 2018
592,1.0 out of 5 stars,Poor quality material..,14 March 2019
593,4.0 out of 5 stars,Perfect,19 August 2018
594,2.0 out of 5 stars,"After wash, the color is fade",28 June 2018
595,1.0 out of 5 stars,Poor qualitY for this product.,26 March 2017
596,5.0 out of 5 stars,Superb,11 October 2018
597,5.0 out of 5 stars,good,7 May 2018
598,3.0 out of 5 stars,Quality is just fine.,20 May 2017
599,1.0 out of 5 stars,"Worst quality ever, torn in very first wash.",24 October 2017
600,4.0 out of 5 stars,Good value for money,17 October 2018
601,5.0 out of 5 stars,Very good,15 December 2018
602,3.0 out of 5 stars,It was good..,6 January 2019
603,5.0 out of 5 stars,Great,30 August 2018
604,1.0 out of 5 stars,Worst product,23 February 2019
605,5.0 out of 5 stars,same as expected!!,28 July 2017
606,5.0 out of 5 stars,Very good product super quality fitted just right thankyou to amazon to bring such a good product .... ☺☺😊😊,8 April 2017
607,5.0 out of 5 stars,Superb product love it!!!!,22 October 2018
608,5.0 out of 5 stars,Very Good material,23 October 2018
609,5.0 out of 5 stars,Product is very nice and superb.,16 May 2018
610,5.0 out of 5 stars,nice,16 November 2018
611,4.0 out of 5 stars,It's very comfartable,5 August 2018
612,3.0 out of 5 stars,Good,25 March 2019
613,5.0 out of 5 stars,Good,1 March 2019
614,5.0 out of 5 stars,good,23 January 2019
615,5.0 out of 5 stars,Nice,26 January 2019
616,4.0 out of 5 stars,Good,29 November 2018
617,1.0 out of 5 stars,Very bad quality of cloth,4 July 2018
618,3.0 out of 5 stars,Ok types,4 May 2017
619,4.0 out of 5 stars,I'm really satisfied with the product,3 October 2017
620,2.0 out of 5 stars,Not,8 September 2018
621,5.0 out of 5 stars,Perfect!!,2 May 2018
622,1.0 out of 5 stars,Bad product,4 October 2018
623,4.0 out of 5 stars,,14 April 2018
624,5.0 out of 5 stars,Supab nice t-shart,18 August 2018
625,5.0 out of 5 stars,Thats good,12 January 2019
626,3.0 out of 5 stars,Seems okay to me,23 October 2018
627,1.0 out of 5 stars,Quality is so poor,31 December 2018
628,5.0 out of 5 stars,It is totally good,26 February 2019
629,1.0 out of 5 stars,Worst fit &amp; poor quality,22 October 2018
630,4.0 out of 5 stars,not for summer,23 January 2018
631,5.0 out of 5 stars,Ok,13 March 2019
632,5.0 out of 5 stars,Achha hai,22 April 2018
633,5.0 out of 5 stars,Perfect,23 October 2018
634,4.0 out of 5 stars,Take one size small,7 December 2017
635,4.0 out of 5 stars,Very nice product,30 December 2018
636,5.0 out of 5 stars,Very good quality,15 June 2018
637,5.0 out of 5 stars,I love it,13 March 2019
638,4.0 out of 5 stars,Clothing,15 November 2018
639,4.0 out of 5 stars,nice quality,3 March 2017
640,5.0 out of 5 stars,worth every penny....,24 October 2018
641,4.0 out of 5 stars,i'd say this is one of the best product i ever ordered from Amazonworth buying it,16 February 2017
642,4.0 out of 5 stars,tee and design is good,8 July 2017
643,5.0 out of 5 stars,Nice Quality at this price,14 September 2018
644,5.0 out of 5 stars,Awesome,29 January 2019
645,5.0 out of 5 stars,Best but size problem I want x-small,2 January 2017
646,4.0 out of 5 stars,Nice one,27 November 2018
647,4.0 out of 5 stars,I'll buy again,15 August 2018
648,4.0 out of 5 stars,Best,26 October 2018
649,3.0 out of 5 stars,Only normal nice,4 August 2018
650,5.0 out of 5 stars,Great,16 October 2018
651,5.0 out of 5 stars,A great tshirt,15 December 2017
652,4.0 out of 5 stars,I like it,12 November 2018
653,4.0 out of 5 stars,It is good.,19 April 2017
654,4.0 out of 5 stars,Perfect fit.Product is as shown in the pic.,6 February 2017
655,4.0 out of 5 stars,It’s fit as expected,14 October 2018
656,5.0 out of 5 stars,Nice quality.,13 March 2019
657,5.0 out of 5 stars,Looks good....quality is also good,9 November 2017
658,4.0 out of 5 stars,Good product. Received earlier than my expect. It fits as expected.,1 July 2017
659,5.0 out of 5 stars,Fast delivery....perfect fit....nice fabric,27 January 2017
660,4.0 out of 5 stars,Outstanding Tshirt,4 July 2018
661,4.0 out of 5 stars,Nice,19 June 2018
662,4.0 out of 5 stars,Neck is too short,31 October 2018
663,5.0 out of 5 stars,nice product,7 December 2018
664,3.0 out of 5 stars,good,23 November 2018
665,4.0 out of 5 stars,Good,25 August 2018
666,5.0 out of 5 stars,so nice,14 March 2017
667,5.0 out of 5 stars,Good quality,13 December 2018
668,5.0 out of 5 stars,Nice product,5 March 2019
669,5.0 out of 5 stars,Good product,16 February 2019
670,5.0 out of 5 stars,I feel happy,29 March 2019
671,5.0 out of 5 stars,nice quality,19 February 2019
672,1.0 out of 5 stars,It's too bad,29 January 2019
673,1.0 out of 5 stars,Poor quality,6 October 2018
674,5.0 out of 5 stars,Product quality is just awesome ...,28 December 2016
675,4.0 out of 5 stars,Fabric worth the cost.,20 May 2017
676,5.0 out of 5 stars,A good one.,22 August 2018
677,1.0 out of 5 stars,Bad product,11 August 2018
678,4.0 out of 5 stars,It's look &amp; quality was very nice,4 July 2017
679,1.0 out of 5 stars,Very bed product Do not buy,24 October 2017
680,1.0 out of 5 stars,Not good quality,4 July 2018
681,2.0 out of 5 stars,Grey colour is too light. Not looking nice,21 June 2017
682,5.0 out of 5 stars,Nice and awsm tshrt... i love it...,15 April 2017
683,3.0 out of 5 stars,This product is good,7 October 2017
684,3.0 out of 5 stars,Fit is bad,19 December 2018
685,3.0 out of 5 stars,Overall good deal ..stuff..size...all good..,13 October 2016
686,5.0 out of 5 stars,Very good,27 December 2018
687,5.0 out of 5 stars,Its good and looks nice..i buyed small size...,8 December 2017
688,2.0 out of 5 stars,quality is very low. not worthy to pay 380,2 August 2017
689,5.0 out of 5 stars,Good one,23 November 2018
690,4.0 out of 5 stars,The quality is good..,8 May 2018
691,5.0 out of 5 stars,T-shirt is really very good.... I suggest to go for it....,1 August 2017
692,5.0 out of 5 stars,looks great!,10 January 2017
693,3.0 out of 5 stars,ok...ok product,31 August 2017
694,5.0 out of 5 stars,Goods,27 October 2018
695,1.0 out of 5 stars,Poor quality cloth material,26 May 2017
696,4.0 out of 5 stars,Very comfortable ... As expected,12 December 2016
697,5.0 out of 5 stars,Awesome !!,23 July 2018
698,5.0 out of 5 stars,Perfect,28 March 2019
699,5.0 out of 5 stars,Perfect,4 January 2019
700,5.0 out of 5 stars,Perfect,1 March 2019
701,5.0 out of 5 stars,Super,28 June 2018
702,5.0 out of 5 stars,"Super,",25 December 2017
703,5.0 out of 5 stars,Cloth good,9 September 2018
704,1.0 out of 5 stars,Not as expected,8 June 2018
705,4.0 out of 5 stars,Good product,21 October 2018
706,5.0 out of 5 stars,Grtt fiting...,6 October 2018
707,5.0 out of 5 stars,Good quality,28 June 2018
708,2.0 out of 5 stars,Not comfortable.,3 October 2017
709,2.0 out of 5 stars,It fits and comfortable,2 December 2017
710,5.0 out of 5 stars,very nice to wear. worth for money,10 September 2017
711,5.0 out of 5 stars,Super,22 March 2019
712,5.0 out of 5 stars,Nice,20 June 2018
713,3.0 out of 5 stars,Nice Tshirt,18 October 2018
714,5.0 out of 5 stars,Like,14 January 2019
715,5.0 out of 5 stars,Good,19 December 2018
716,4.0 out of 5 stars,Good,23 March 2019
717,5.0 out of 5 stars,good,16 December 2018
718,5.0 out of 5 stars,like,8 February 2019
719,5.0 out of 5 stars,Best,30 January 2019
720,4.0 out of 5 stars,mast,8 January 2019
721,5.0 out of 5 stars,Jus go for it. Worth of every penny.,14 June 2017
722,4.0 out of 5 stars,I like this,8 October 2018
723,5.0 out of 5 stars,Best Product .Worth Buying😊,25 December 2017
724,4.0 out of 5 stars,Nice Good fit,19 April 2017
725,5.0 out of 5 stars,Good quality product,8 April 2018
726,1.0 out of 5 stars,Low quality,5 October 2018
727,4.0 out of 5 stars,good quality,2 April 2018
728,5.0 out of 5 stars,Very good,28 October 2017
729,4.0 out of 5 stars,Good one,21 January 2017
730,1.0 out of 5 stars,Not genuine,26 January 2018
731,1.0 out of 5 stars,Cloth is good but they have not a great looking,8 October 2017
732,4.0 out of 5 stars,"perfect fit , nice fabric , don't think go for it.",23 June 2017
733,3.0 out of 5 stars,good,12 July 2017
734,4.0 out of 5 stars,Good product,13 June 2018
735,3.0 out of 5 stars,Not bad,19 February 2018
736,4.0 out of 5 stars,Amazing product. Worth the money,6 June 2017
737,3.0 out of 5 stars,I think it's a good product.,22 November 2017
738,4.0 out of 5 stars,Good,22 October 2018
739,5.0 out of 5 stars,The product was really good and meet the expectations,19 June 2017
740,5.0 out of 5 stars,GOOD PRODUCT AT CHEAP PRICE,2 May 2018
741,4.0 out of 5 stars,After 3 wash also fitting and quality is still good.,24 June 2017
742,5.0 out of 5 stars,Perfect product... Excellent,23 October 2017
743,5.0 out of 5 stars,Good one thanks,29 January 2018
744,5.0 out of 5 stars,awsm,11 October 2018
745,5.0 out of 5 stars,Hmm ra8,9 June 2017
746,5.0 out of 5 stars,👍,29 June 2018
747,5.0 out of 5 stars,Mastt,5 June 2018
748,5.0 out of 5 stars,Good,11 February 2018
749,5.0 out of 5 stars,Superb T-shirt .fit and comfortGood material n Gud Product,7 March 2017
750,4.0 out of 5 stars,Very good...But not extraordinary quality...,24 June 2017
751,5.0 out of 5 stars,Good,8 September 2018
752,5.0 out of 5 stars,Love it,20 February 2017
753,4.0 out of 5 stars,good product,27 July 2018
754,4.0 out of 5 stars,Satisfied☺,26 June 2017
755,5.0 out of 5 stars,Good t shirt fabric is also good,2 September 2017
756,5.0 out of 5 stars,awsm fit,4 April 2018
757,5.0 out of 5 stars,Good product nice colour.,28 August 2017
758,5.0 out of 5 stars,Best fitting t shirt,30 November 2017
759,5.0 out of 5 stars,Great deal!Its same as shown :),19 May 2017
760,5.0 out of 5 stars,Awsm,12 September 2018
761,3.0 out of 5 stars,Quality is not as expected,3 February 2017
762,5.0 out of 5 stars,Nice fit with pretty nice look,25 February 2017
763,5.0 out of 5 stars,Good,15 June 2018
764,5.0 out of 5 stars,COOOL,5 May 2018
765,5.0 out of 5 stars,nice,5 January 2017
766,4.0 out of 5 stars,Nice product.its looking good...,9 October 2017
767,4.0 out of 5 stars,Very good fabric quality,16 March 2017
768,3.0 out of 5 stars,Color is too light,17 March 2017
